PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Large Office,GREATER DUWAMISH,1.0,4,103200,4374646.0,0,1,0,125
Warehouse,GREATER DUWAMISH,1.0,1,78814,911161.3125,0,1,1,71
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,4,58970,1916863.375,0,1,1,121
Distribution Center,GREATER DUWAMISH,1.0,6,64800,2688675.75,0,1,0,115
Distribution Center,GREATER DUWAMISH,1.0,4,56270,1056782.125,0,1,0,118
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,66842,5550151.0,0,1,1,121
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,64488,2972492.75,0,1,1,116
Large Office,DOWNTOWN,1.0,7,184322,9722890.0,0,1,0,121
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,64512,6114759.5,0,1,1,111
Warehouse,GREATER DUWAMISH,1.0,7,144050,4347677.0,0,1,1,99
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,60592,5107519.5,0,1,1,95
Retail Store,GREATER DUWAMISH,1.0,1,107930,7589347.5,0,1,1,32
Warehouse,GREATER DUWAMISH,1.0,1,99084,1838287.25,0,1,1,99
Distribution Center,Delridge,1.0,1,72719,2774363.5,0,1,1,72
Small- and Mid-Sized Office,EAST,1.0,4,76624,3166841.75,0,1,1,95
Small- and Mid-Sized Office,NORTHEAST,1.0,6,55123,8570571.0,0,1,0,24
Large Office,DELRIDGE,1.0,5,121885,8381834.5,0,1,0,34
Retail Store,GREATER DUWAMISH,1.0,1,56572,2540840.5,0,1,1,52
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,97720,2478025.25,0,1,0,99
