PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Warehouse,GREATER DUWAMISH,1.0,1,36000,3253334.25,0,1,1,52
Warehouse,GREATER DUWAMISH,1.0,1,31360,1526335.25,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,33320,2499644.75,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,48020,2567827.75,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,27420,1340563.125,0,1,1,46
K-12 School,NORTHEAST,1.0,2,43645,2332477.5,0,1,1,76
Retail Store,NORTHEAST,1.0,1,26853,1453484.75,0,1,1,73
Other,GREATER DUWAMISH,1.0,4,44775,1095347.375,0,1,1,116
Other,GREATER DUWAMISH,2.0,1,27760,3262533.0,0,1,1,109
Other,GREATER DUWAMISH,1.0,1,20975,347437.6875,0,1,1,88
Other,GREATER DUWAMISH,1.0,1,26075,1646355.25,0,1,1,107
Warehouse,GREATER DUWAMISH,1.0,1,29394,1597845.25,0,1,1,33
Warehouse,GREATER DUWAMISH,1.0,2,20400,501439.6875,0,1,1,99
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,20460,903541.875,0,1,0,99
Self-Storage Facility,GREATER DUWAMISH,1.0,2,25821,214950.9063,0,1,0,100
Refrigerated Warehouse,GREATER DUWAMISH,1.0,2,21870,1067194.5,0,1,0,70
Warehouse,GREATER DUWAMISH,3.0,1,51664,3743867.25,0,1,1,37
Medical Office,DELRIDGE,1.0,1,43615,3389213.25,0,1,1,55
Small- and Mid-Sized Office,DELRIDGE,1.0,3,36879,1196289.375,0,1,0,55
Other,DELRIDGE,1.0,2,28531,3611021.0,0,1,1,23
Warehouse,DELRIDGE,1.0,2,36600,320606.5938,0,1,0,43
Mixed Use Property,SOUTHWEST,1.0,5,35176,1080492.375,0,1,0,21
K-12 School,NORTH,1.0,1,36701,1760895.125,0,1,1,66
University,LAKE UNION,1.0,2,26050,3023468.0,0,1,1,85
Warehouse,GREATER DUWAMISH,1.0,1,48890,2315404.0,0,1,1,84
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,43473,4416909.5,0,1,0,25
Retail Store,DELRIDGE,1.0,1,40265,3766310.0,0,1,1,35
Retail Store,DELRIDGE,1.0,1,26208,1761050.125,0,1,1,20
Other,DELRIDGE,1.0,2,27227,8556389.0,0,1,1,50
Mixed Use Property,BALLARD,1.0,1,42172,3705229.5,0,1,1,99
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,32250,866241.875,0,1,1,115
Retail Store,NORTHWEST,1.0,1,51000,1330840.875,0,1,1,72
Mixed Use Property,GREATER DUWAMISH,1.0,1,27000,248334.9063,0,1,0,109
Other,GREATER DUWAMISH,1.0,2,20747,1051152.375,0,1,1,90
Warehouse,GREATER DUWAMISH,1.0,2,40800,929876.625,0,1,1,97
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,20150,592196.6875,0,1,0,105
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,36000,1682454.875,0,1,0,116
Warehouse,GREATER DUWAMISH,1.0,2,41276,2880753.0,0,1,1,87
Refrigerated Warehouse,GREATER DUWAMISH,1.0,2,24430,1297406.125,0,1,1,88
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,22580,937950.625,0,1,1,98
Warehouse,CENTRAL,1.0,1,20000,877874.875,0,1,1,99
Warehouse,CENTRAL,1.0,1,42000,2298245.25,0,1,1,71
Self-Storage Facility,CENTRAL,1.0,1,24248,120610.5,0,1,1,63
Senior Care Community,NORTH,1.0,6,244500,11314740.0,0,1,1,16
Warehouse,GREATER DUWAMISH,1.0,1,24617,109471.7969,0,1,0,93
Other,GREATER DUWAMISH,1.0,3,42355,3363692.75,0,1,0,16
Retail Store,GREATER DUWAMISH,1.0,1,37247,1988034.875,0,1,1,61
Retail Store,BALLARD,1.0,1,25384,3207111.5,0,1,1,32
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,49052,1441445.625,0,1,0,115
Warehouse,GREATER DUWAMISH,1.0,2,52110,671037.375,0,1,1,125
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,39036,1633524.125,0,1,1,88
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,26310,841208.1875,0,1,1,102
Retail Store,SOUTHEAST,1.0,1,37883,12869714.0,0,1,1,59
K-12 School,DELRIDGE,1.0,3,29874,1478408.125,0,1,1,63
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,1,20140,1164370.875,0,1,1,60
Self-Storage Facility,NORTHWEST,1.0,2,40485,1393424.5,0,1,1,35
Small- and Mid-Sized Office,CENTRAL,1.0,2,39953,1608929.125,0,1,1,54
Retail Store,CENTRAL,1.0,2,21200,1652954.75,0,1,0,27
Supermarket / Grocery Store,CENTRAL,1.0,1,30630,6194518.0,0,1,0,45
Retail Store,CENTRAL,1.0,2,23421,1955353.0,0,1,0,45
K-12 School,BALLARD,1.0,3,117116,6499178.0,0,1,1,94
Worship Facility,BALLARD,1.0,2,24120,1024822.188,0,1,1,97
Worship Facility,BALLARD,1.0,3,35736,1342448.875,0,1,1,96
Warehouse,GREATER DUWAMISH,1.0,1,51050,1355995.25,0,1,1,84
Retail Store,GREATER DUWAMISH,1.0,2,21900,1439042.25,0,1,1,71
Distribution Center,GREATER DUWAMISH,1.0,1,16300,150167.7969,0,1,1,73
Warehouse,GREATER DUWAMISH,1.0,1,33462,1386445.375,0,1,0,61
Mixed Use Property,GREATER DUWAMISH,1.0,1,35310,1519845.5,0,1,1,73
Other,GREATER DUWAMISH,1.0,3,36140,4653535.0,0,1,0,63
Other,DOWNTOWN,1.0,2,26579,8224244.0,0,1,1,34
Warehouse,DOWNTOWN,1.0,1,23903,486884.9063,0,1,1,95
Self-Storage Facility,NORTHEAST,1.0,3,22522,630412.625,0,1,1,78
Self-Storage Facility,NORTHEAST,1.0,4,38959,963968.1875,0,1,1,29
Warehouse,GREATER DUWAMISH,1.0,2,25955,1218112.0,0,1,0,97
K-12 School,EAST,1.0,4,46100,2412536.25,1,1,1,102
Worship Facility,NORTHWEST,1.0,2,21936,686216.5,0,1,1,74
Other,NORTH,1.0,1,25406,2484501.5,0,1,1,65
Small- and Mid-Sized Office,SOUTHEAST,1.0,2,23250,888432.5,0,1,0,58
Warehouse,GREATER DUWAMISH,1.0,1,30000,3246531.0,0,1,1,65
Warehouse,GREATER DUWAMISH,1.0,1,45036,1989787.875,0,1,1,63
K-12 School,SOUTHWEST,1.0,1,51410,2256911.75,0,1,1,63
Small- and Mid-Sized Office,NORTH,1.0,4,23022,1075427.75,0,1,1,45
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,27263,2408141.75,0,1,0,58
Warehouse,GREATER DUWAMISH,1.0,1,31569,3344952.0,0,1,1,63
Warehouse,GREATER DUWAMISH,1.0,1,22509,177812.7969,0,1,0,69
Warehouse,GREATER DUWAMISH,1.0,1,39984,1163530.25,0,1,1,69
K-12 School,EAST,1.0,2,73769,2904558.75,0,1,1,100
Worship Facility,EAST,1.0,1,26440,826275.1875,0,1,1,119
K-12 School,NORTHEAST,1.0,1,43578,1436773.875,0,1,1,64
Self-Storage Facility,GREATER DUWAMISH,1.0,2,28800,1266706.875,0,1,1,69
K-12 School,CENTRAL,4.0,2,28500,1300765.5,0,1,1,16
Restaurant,LAKE UNION,1.0,2,26519,3717064.0,0,1,1,47
Other,MAGNOLIA / QUEEN ANNE,1.0,2,26300,3711173.0,0,1,1,104
Restaurant,LAKE UNION,1.0,2,34072,7007726.0,0,1,1,63
Small- and Mid-Sized Office,LAKE UNION,1.0,3,23355,840549.375,0,1,0,76
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,4,30840,3840161.75,0,1,1,60
Other,NORTHEAST,1.0,1,20332,431857.6875,0,1,1,79
Worship Facility,CENTRAL,1.0,1,21850,359962.5938,0,1,1,125
Mixed Use Property,NORTHEAST,1.0,4,25297,1500695.375,0,1,1,28
Large Office,DOWNTOWN,1.0,13,224493,9691704.0,0,1,0,42
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1.0,2,28309,498364.9063,0,1,1,107
Hotel,DOWNTOWN,1.0,4,45500,2934339.25,1,1,1,111
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,38376,2142457.5,0,1,0,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,42804,1598032.0,0,1,1,125
Mixed Use Property,DOWNTOWN,1.0,5,57600,7355579.0,0,1,1,20
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,33300,1355968.5,0,1,1,125
Other,DOWNTOWN,1.0,3,22200,231847.0938,0,1,1,125
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2,29498,3930355.5,0,1,1,57
Warehouse,LAKE UNION,1.0,1,23050,486485.3125,0,1,0,87
Small- and Mid-Sized Office,LAKE UNION,1.0,4,48350,3280955.5,0,1,0,17
Retail Store,NORTHEAST,1.0,1,46059,1656820.0,0,1,1,95
Medical Office,NORTHEAST,1.0,2,23595,823716.875,0,1,1,55
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,28142,911154.125,1,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,28760,2726126.75,1,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,39030,773324.6875,0,1,1,123
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,47215,2136896.0,0,1,1,116
Other,EAST,1.0,2,34580,4489734.5,0,1,1,99
Small- and Mid-Sized Office,EAST,1.0,3,30720,1361277.25,0,1,1,108
Mixed Use Property,EAST,1.0,2,20640,412562.4063,0,1,0,109
Mixed Use Property,EAST,1.0,2,34914,1314474.5,0,1,0,113
Small- and Mid-Sized Office,EAST,1.0,3,20897,1031474.188,0,1,1,119
Retail Store,EAST,1.0,2,36940,336745.4063,0,1,0,109
Small- and Mid-Sized Office,EAST,1.0,3,22866,1213909.875,0,1,1,112
Retail Store,EAST,1.0,1,30240,1316900.75,0,1,1,105
Other,NORTHEAST,1.0,2,28586,5078204.0,0,1,0,63
Hotel,DOWNTOWN,1.0,3,28800,4644346.0,0,1,1,117
Restaurant,DOWNTOWN,1.0,3,28800,935833.1875,0,1,1,112
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,35202,3605755.5,0,1,0,46
Senior Care Community,EAST,1.0,6,69035,7437745.0,0,1,1,56
Worship Facility,EAST,1.0,2,24600,347690.5938,0,1,1,115
Worship Facility,EAST,1.0,1,48850,1259282.25,1,1,1,125
Hospital,SOUTHWEST,1.0,3,54863,2066851.25,0,1,0,64
Warehouse,GREATER DUWAMISH,1.0,1,25000,2044286.625,0,1,1,61
Warehouse,GREATER DUWAMISH,1.0,1,25000,342696.3125,0,1,1,65
Other,GREATER DUWAMISH,1.0,1,22622,872014.3125,0,1,1,98
Small- and Mid-Sized Office,EAST,1.0,3,27544,1092060.75,0,1,1,108
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,47415,1552850.625,0,1,0,36
Other,MAGNOLIA / QUEEN ANNE,1.0,3,22960,2447325.5,0,1,1,64
Mixed Use Property,NORTHEAST,1.0,1,22778,2675057.75,0,1,1,77
Worship Facility,BALLARD,1.0,2,21562,1000251.875,0,1,1,69
Other,CENTRAL,1.0,1,25753,1612521.0,0,1,1,66
K-12 School,EAST,1.0,3,38297,2127889.25,0,1,1,100
Worship Facility,SOUTHEAST,1.0,1,24200,900697.125,0,1,1,57
Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,4,21302,1778251.875,0,1,1,44
Self-Storage Facility,DELRIDGE,1.0,3,66610,742571.5,0,1,1,31
Other,GREATER DUWAMISH,1.0,1,36000,3823703.75,0,1,1,75
K-12 School,NORTHWEST,1.0,2,23222,1331981.25,0,1,1,87
Mixed Use Property,EAST,1.0,2,24476,2800725.0,0,1,1,101
Retail Store,EAST,1.0,2,24750,906960.625,0,1,1,115
K-12 School,EAST,1.0,3,60000,3928621.25,0,1,1,121
Other,EAST,1.0,2,46560,734550.6875,0,1,1,71
Other,MAGNOLIA / QUEEN ANNE,1.0,3,30408,1469861.875,0,1,0,45
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,30109,1589657.75,0,1,1,105
K-12 School,SOUTHWEST,1.0,2,39929,2001873.25,0,1,1,61
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,25481,1052797.5,0,1,1,65
Small- and Mid-Sized Office,LAKE UNION,1.0,2,27788,2127889.25,0,1,1,113
Hotel,NORTHWEST,1.0,4,33120,1974631.125,0,1,1,35
Warehouse,GREATER DUWAMISH,1.0,2,22324,723060.1875,0,1,1,84
Other,GREATER DUWAMISH,1.0,2,31360,1886366.625,0,1,1,79
Mixed Use Property,GREATER DUWAMISH,1.0,1,30496,2217613.5,0,1,1,78
Small- and Mid-Sized Office,EAST,1.0,3,27600,1103795.25,0,1,1,103
Senior Care Community,Northwest,1.0,2,55974,6412428.0,0,1,1,64
K-12 School,GREATER DUWAMISH,1.0,2,52901,2508012.0,0,1,1,54
Senior Care Community,NORTH,1.0,1,22583,2123591.75,0,1,1,71
Small- and Mid-Sized Office,LAKE UNION,1.0,3,24328,2305643.5,0,1,0,28
Small- and Mid-Sized Office,LAKE UNION,1.0,3,20660,735909.0,0,1,0,44
Warehouse,NORTHWEST,1.0,1,29400,227509.5,0,1,0,53
Hotel,GREATER DUWAMISH,1.0,3,22452,1269576.0,0,1,1,33
Other,NORTHEAST,1.0,2,25767,1620383.625,0,1,0,113
Retail Store,NORTHEAST,1.0,4,33910,1904055.75,0,1,1,72
Worship Facility,NORTHEAST,1.0,2,78401,2846592.0,0,1,1,98
Warehouse,LAKE UNION,1.0,2,78716,4311327.5,0,1,1,46
K-12 School,LAKE UNION,1.0,2,33300,1903636.375,0,1,1,115
Supermarket / Grocery Store,LAKE UNION,1.0,1,28808,9450746.0,0,1,1,68
Small- and Mid-Sized Office,NORTHEAST,1.0,1,20962,1181649.25,0,1,0,68
Supermarket / Grocery Store,NORTHEAST,1.0,1,26226,7798479.5,0,1,1,75
Mixed Use Property,NORTHEAST,1.0,2,19193,1223177.375,0,1,0,49
Small- and Mid-Sized Office,LAKE UNION,1.0,3,27640,6197824.5,0,1,0,27
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,22840,983053.375,0,1,0,125
Other,DOWNTOWN,1.0,1,21420,812371.625,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,1,20880,683274.0,0,1,0,125
Mixed Use Property,DOWNTOWN,1.0,3,26000,1063035.875,0,1,1,59
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,38675,1956121.125,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,49951,5683758.0,1,1,1,96
Medical Office,SOUTHEAST,1.0,2,25880,1956483.5,0,1,1,15
Worship Facility,NORTHEAST,1.0,3,41013,1191549.25,0,1,1,98
Other,NORTHEAST,1.0,2,21075,1715969.625,0,1,1,21
Worship Facility,NORTHEAST,1.0,3,46485,1689227.75,0,1,1,75
Small- and Mid-Sized Office,NORTHWEST,1.0,4,56896,1507071.5,0,1,1,60
Worship Facility,NORTHWEST,1.0,2,27500,654455.1875,0,1,1,47
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,36630,541943.3125,0,1,0,95
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,26830,2139205.25,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,41920,1103594.75,0,1,0,119
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,36879,1664247.375,0,1,1,120
Other,DOWNTOWN,1.0,6,29820,1624991.375,0,1,1,121
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,33640,1144343.125,0,1,0,120
Warehouse,DOWNTOWN,1.0,4,43484,1567040.75,0,1,0,119
Mixed Use Property,DOWNTOWN,1.0,3,22480,981009.125,0,1,0,125
Hotel,DOWNTOWN,1.0,4,33018,5153234.0,0,1,1,100
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,26510,1017753.188,0,1,1,55
Warehouse,LAKE UNION,1.0,1,40028,942415.1875,0,1,1,87
Small- and Mid-Sized Office,LAKE UNION,1.0,3,26282,2250450.5,0,1,0,18
Worship Facility,NORTH,1.0,1,21624,730124.5,0,1,1,71
K-12 School,NORTHWEST,1.0,1,42239,2410752.0,0,1,1,55
K-12 School,Northwest,1.0,3,51360,1535481.375,0,1,1,100
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,21600,1514428.75,0,1,1,32
Mixed Use Property,DOWNTOWN,1.0,3,20620,791926.875,0,1,1,116
Hotel,DOWNTOWN,1.0,5,40552,1377497.25,0,1,1,115
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,31432,1439572.375,0,1,0,116
Retail Store,DOWNTOWN,1.0,2,24550,1031447.625,0,1,1,108
K-12 School,LAKE UNION,1.0,2,61052,2549041.25,0,1,1,25
Other,CENTRAL,1.0,3,25864,1028277.313,0,1,1,117
Other,NORTHEAST,1.0,3,20686,1321763.125,0,1,1,101
Residence Hall,NORTHEAST,1.0,3,22124,652060.0,0,1,0,96
Residence Hall,NORTHEAST,1.0,3,27487,1753311.875,0,1,1,99
Residence Hall,NORTHEAST,1.0,4,23616,1771038.0,0,1,1,99
Residence Hall,NORTHEAST,1.0,3,33448,1073833.25,0,1,0,49
Mixed Use Property,EAST,1.0,2,22388,2506557.5,0,1,1,20
Senior Care Community,CENTRAL,1.0,2,74840,8485438.0,0,1,1,38
Other,CENTRAL,1.0,3,20992,2879554.5,0,1,1,112
K-12 School,CENTRAL,1.0,2,22344,1663727.125,0,1,1,100
University,EAST,1.0,3,31900,2737986.0,0,1,1,104
Other,BALLARD,1.0,2,29417,1816709.0,0,1,1,75
Mixed Use Property,DOWNTOWN,1.0,3,49299,4821852.0,0,1,0,116
Supermarket / Grocery Store,SOUTHWEST,1.0,1,31841,13584036.0,0,1,1,28
Mixed Use Property,EAST,1.0,2,21036,2830649.5,0,1,1,37
Mixed Use Property,NORTHEAST,1.0,2,32928,5652231.0,0,1,0,26
K-12 School,NORTHEAST,1.0,2,54943,2498122.25,0,1,1,97
Warehouse,GREATER DUWAMISH,1.0,1,44476,1529218.125,0,1,1,65
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,35017,1394293.5,0,1,1,56
Residence Hall,NORTHEAST,1.0,3,29084,1741865.25,0,1,1,75
Worship Facility,SOUTHEAST,1.0,2,22952,545136.5,0,1,1,62
Warehouse,GREATER DUWAMISH,1.0,1,21040,657383.1875,0,1,1,49
Warehouse,GREATER DUWAMISH,1.0,2,28032,1539819.875,0,1,1,74
Distribution Center,GREATER DUWAMISH,1.0,1,25620,652579.875,0,1,1,51
Warehouse,DOWNTOWN,1.0,3,33238,1632472.0,0,1,0,33
K-12 School,EAST,1.0,4,27800,1275996.25,0,1,1,113
Large Office,DOWNTOWN,1.0,6,706176,13473994.0,0,1,0,25
Supermarket / Grocery Store,SOUTHWEST,1.0,1,33706,8992072.0,0,1,1,27
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,2,37600,2477406.25,0,1,1,64
K-12 School,NORTHWEST,1.0,1,42128,1869043.875,0,1,1,71
K-12 School,BALLARD,1.0,2,44753,1817756.125,0,1,1,93
Other,EAST,1.0,3,33708,835610.875,1,1,1,113
Other,North,1.0,2,47237,5996179.5,0,1,0,77
K-12 School,BALLARD,1.0,2,57298,1681189.25,0,1,0,36
Supermarket / Grocery Store,NORTHEAST,1.0,1,38000,14368231.0,0,1,1,28
Worship Facility,NORTHEAST,1.0,3,26373,1172287.125,0,1,1,87
Small- and Mid-Sized Office,CENTRAL,6.0,2,75868,3605749.75,0,1,0,69
Mixed Use Property,EAST,1.0,2,21656,1607972.25,0,1,1,78
Distribution Center,MAGNOLIA / QUEEN ANNE,1.0,3,23040,472415.4063,0,1,0,104
Other,MAGNOLIA / QUEEN ANNE,1.0,2,36771,5400237.5,0,1,0,69
Warehouse,GREATER DUWAMISH,1.0,1,24024,404484.4063,0,1,0,48
Warehouse,GREATER DUWAMISH,1.0,1,42420,1129170.375,0,1,1,72
Distribution Center,GREATER DUWAMISH,1.0,1,36982,405866.9063,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,2,23400,454896.5,0,1,0,61
Other,MAGNOLIA / QUEEN ANNE,1.0,2,30720,1915150.75,0,1,1,77
Warehouse,GREATER DUWAMISH,1.0,1,23232,127374.0,0,1,0,53
Warehouse,GREATER DUWAMISH,1.0,1,35046,1092979.75,0,1,1,51
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,25577,883072.875,0,1,1,64
Warehouse,GREATER DUWAMISH,1.0,1,43380,412764.8125,0,1,0,51
Small- and Mid-Sized Office,LAKE UNION,1.0,3,20410,2827857.0,0,1,1,30
Small- and Mid-Sized Office,NORTHWEST,1.0,3,18396,624125.625,0,1,0,42
K-12 School,NORTHWEST,1.0,1,45174,2205570.75,0,1,1,69
Worship Facility,NORTHWEST,1.0,1,24955,773357.0,0,1,1,23
Other,Central,1.0,3,34074,8652913.0,0,1,1,34
Worship Facility,North,1.0,2,76475,1913404.25,0,1,1,64
K-12 School,North,1.0,2,32961,1719595.125,0,1,1,37
Other,NORTHWEST,1.0,1,12806,1155795.125,0,1,1,21
K-12 School,CENTRAL,1.0,1,109794,3657784.25,0,1,1,75
Other,Central,1.0,3,25200,1407294.875,0,1,1,114
Supermarket / Grocery Store,North,1.0,1,44755,11943740.0,0,1,1,29
Other,EAST,1.0,2,22320,230988.9063,0,1,1,118
Mixed Use Property,EAST,1.0,3,24000,952583.5,0,1,1,113
Small- and Mid-Sized Office,EAST,1.0,3,23422,2902229.0,0,1,1,105
Other,EAST,5.0,2,27551,3564727.5,0,1,1,50
Mixed Use Property,EAST,1.0,5,38409,3518099.75,0,1,1,27
Warehouse,EAST,1.0,2,23040,79967.89844,0,1,1,105
Warehouse,EAST,1.0,2,61880,604190.125,0,1,0,67
Small- and Mid-Sized Office,EAST,1.0,2,27938,1002986.375,0,1,1,100
Other,NORTHEAST,1.0,2,21600,1623657.0,0,1,0,101
Other,NORTHEAST,1.0,3,27908,2182493.0,0,1,1,96
K-12 School,CENTRAL,1.0,2,30562,1824440.125,0,1,1,25
Retail Store,DOWNTOWN,1.0,3,54969,3770784.25,0,1,1,25
K-12 School,CENTRAL,1.0,2,36825,1892122.25,0,1,1,74
Small- and Mid-Sized Office,EAST,1.0,3,25834,2223401.5,0,1,1,67
Worship Facility,EAST,1.0,1,37700,4195549.5,0,1,1,96
K-12 School,EAST,1.0,2,27273,1436271.0,0,1,1,100
Mixed Use Property,Central,1.0,6,97229,1056507.75,0,1,0,21
Small- and Mid-Sized Office,NORTHWEST,1.0,3,25111,1060040.75,0,1,1,43
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,2,31805,1888861.125,0,1,1,72
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,1,20811,1441620.0,0,1,1,72
Warehouse,GREATER DUWAMISH,1.0,2,22058,2235498.0,0,1,1,58
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,22890,9844836.0,0,1,1,55
Other,GREATER DUWAMISH,1.0,5,36000,1270850.625,0,1,1,118
Distribution Center,GREATER DUWAMISH,1.0,1,28320,4403066.5,0,1,1,54
Worship Facility,NORTHEAST,1.0,1,29079,930746.875,0,1,1,70
Small- and Mid-Sized Office,EAST,1.0,3,19232,769771.8125,0,1,0,43
Small- and Mid-Sized Office,Ballard,1.0,2,20535,1964622.625,0,1,1,37
Laboratory,MAGNOLIA / QUEEN ANNE,1.0,2,43025,10148279.0,0,1,1,40
Warehouse,GREATER DUWAMISH,1.0,1,30800,485971.0,0,1,0,60
Mixed Use Property,EAST,1.0,3,22168,1904848.25,0,1,1,125
Warehouse,GREATER DUWAMISH,1.0,1,37400,909543.1875,0,1,1,103
Small- and Mid-Sized Office,DOWNTOWN,1.0,11,68452,3979629.5,0,1,0,25
Large Office,DOWNTOWN,1.0,11,273185,14709151.0,0,1,0,25
K-12 School,NORTHEAST,1.0,3,97500,4314753.5,0,1,1,101
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,54015,3020001.5,0,1,0,43
Restaurant,DOWNTOWN,1.0,13,42000,7762660.5,1,1,1,40
Other,NORTH,1.0,1,24697,1395016.125,0,1,1,60
University,CENTRAL,2.0,1,57468,3778965.75,0,1,1,12
University,EAST,1.0,5,84000,12581302.0,0,1,1,19
Retail Store,DOWNTOWN,1.0,3,103000,5390147.5,0,1,1,34
Supermarket / Grocery Store,SOUTHWEST,1.0,1,37864,8257472.5,0,1,1,17
Supermarket / Grocery Store,EAST,1.0,2,66497,9290214.0,0,1,1,75
Retail Store,MAGNOLIA / QUEEN ANNE,1.0,4,34010,3611326.75,0,1,0,19
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,4,45980,8573323.0,0,1,1,19
Retail Store,EAST,1.0,3,45743,5227773.5,0,1,1,29
Other,CENTRAL,1.0,1,45000,3769240.5,0,1,1,34
Other,GREATER DUWAMISH,1.0,6,333698,14658050.0,0,1,1,26
Warehouse,GREATER DUWAMISH,1.0,4,72859,1577083.25,0,1,1,121
K-12 School,SOUTHEAST,1.0,2,138705,5344758.0,0,1,1,16
Mixed Use Property,GREATER DUWAMISH,1.0,3,21947,1658135.375,0,1,1,21
Medical Office,NORTHEAST,1.0,0,30287,2279632.5,0,1,1,65
Small- and Mid-Sized Office,NORTHEAST,1.0,0,21931,4292216.0,0,1,1,65
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,73102,4483478.0,0,1,0,40
Mixed Use Property,EAST,1.0,2,81422,2778832.75,0,1,1,109
Mixed Use Property,GREATER DUWAMISH,5.0,1,87458,9271981.0,0,1,1,59
Supermarket / Grocery Store,NORTH,1.0,1,51400,12081430.0,0,1,1,14
Small- and Mid-Sized Office,LAKE UNION,1.0,1,26263,1671740.25,0,1,0,32
Other,CENTRAL,1.0,1,21400,5427452.5,0,1,1,57
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,4,33997,9086338.0,0,1,1,22
Mixed Use Property,DOWNTOWN,1.0,6,74211,1438856.625,0,1,0,123
Warehouse,SOUTHEAST,1.0,2,45700,1547490.125,0,1,1,37
Large Office,GREATER DUWAMISH,1.0,6,157345,11666007.0,0,1,1,13
Residence Hall,NORTHEAST,1.0,5,136758,6662918.5,0,1,1,13
Residence Hall,NORTHEAST,1.0,7,192259,9286532.0,0,1,1,13
Other,GREATER DUWAMISH,2.0,2,137138,5574345.0,0,1,0,13
Retail Store,MAGNOLIA / QUEEN ANNE,1.0,3,43832,4085534.75,0,1,1,107
Other,SOUTHWEST,1.0,6,146363,12145596.0,0,1,1,38
Large Office,DOWNTOWN,1.0,13,204760,14070366.0,0,1,1,37
Worship Facility,NORTHEAST,1.0,2,70292,2145036.25,0,1,1,17
K-12 School,EAST,1.0,2,35780,2962615.25,0,1,1,11
Large Office,MAGNOLIA / QUEEN ANNE,1.0,3,76844,1420513.25,0,1,0,12
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,47673,2626698.25,0,1,1,12
Hotel,BALLARD,1.0,4,39433,3497215.5,0,1,0,12
Senior Care Community,Central,1.0,6,79805,7692164.0,0,1,1,12
K-12 School,NORTHWEST,1.0,2,48925,1695022.25,0,1,1,11
Other,MAGNOLIA / QUEEN ANNE,1.0,1,29000,2642231.75,0,1,1,63
Large Office,GREATER DUWAMISH,1.0,7,187027,4644839.5,0,1,1,11
Other,GREATER DUWAMISH,1.0,2,56988,544172.375,0,1,1,11
University,GREATER DUWAMISH,4.0,2,149856,6759240.5,0,1,1,18
